"","yrmonth","country","total_refusals","import_volume","import_volume_100k","import_volume_1M","year","month","USDA_transition01","USDA01","USDAxVolume","USDAxVolume100k","USDAxVolume1M","USDA_t01xVolume1M","country_cat"
"339","2017-12","VIETNAM",40,7162985,71.62985,7.162985,"2017","12",0,1,7162985,71.62985,7.162985,0,"VIETNAM"
"340","2018-01","CHINA",4,695364,6.95364,0.695364,"2018","01",0,1,695364,6.95364,0.695364,0,"CHINA"
"341","2018-01","GUYANA",9,1088,0.01088,0.001088,"2018","01",0,1,1088,0.01088,0.001088,0,"ROW"
"342","2018-01","VIETNAM",18,6753109,67.53109,6.753109,"2018","01",0,1,6753109,67.53109,6.753109,0,"VIETNAM"
"343","2018-02","CHINA",0,445008,4.45008,0.445008,"2018","02",0,1,445008,4.45008,0.445008,0,"CHINA"
"344","2018-02","GUYANA",14,3653,0.03653,0.003653,"2018","02",0,1,3653,0.03653,0.003653,0,"ROW"
"345","2018-02","THAILAND",6,3408,0.03408,0.003408,"2018","02",0,1,3408,0.03408,0.003408,0,"THAILAND"
"346","2018-02","VIETNAM",8,5451102,54.51102,5.451102,"2018","02",0,1,5451102,54.51102,5.451102,0,"VIETNAM"
"347","2018-03","CHINA",2,175738,1.75738,0.175738,"2018","03",0,1,175738,1.75738,0.175738,0,"CHINA"
"348","2018-03","GUYANA",10,11978,0.11978,0.011978,"2018","03",0,1,11978,0.11978,0.011978,0,"ROW"
"349","2018-03","SPAIN",0,366,0.00366,0.000366,"2018","03",0,1,366,0.00366,0.000366,0,"ROW"
"350","2018-03","VIETNAM",11,5682839,56.82839,5.682839,"2018","03",0,1,5682839,56.82839,5.682839,0,"VIETNAM"
"351","2018-04","CHINA",4,251275,2.51275,0.251275,"2018","04",0,1,251275,2.51275,0.251275,0,"CHINA"
"352","2018-04","VIETNAM",17,7230420,72.3042,7.23042,"2018","04",0,1,7230420,72.3042,7.23042,0,"VIETNAM"
"353","2018-05","CHINA",4,532980,5.3298,0.53298,"2018","05",0,1,532980,5.3298,0.53298,0,"CHINA"
"354","2018-05","VIETNAM",14,9185746,91.85746,9.185746,"2018","05",0,1,9185746,91.85746,9.185746,0,"VIETNAM"
"355","2018-06","CHINA",3,696858,6.96858,0.696858,"2018","06",0,1,696858,6.96858,0.696858,0,"CHINA"
"356","2018-06","VIETNAM",6,7320903,73.20903,7.320903,"2018","06",0,1,7320903,73.20903,7.320903,0,"VIETNAM"
"357","2018-07","CHINA",4,276111,2.76111,0.276111,"2018","07",0,1,276111,2.76111,0.276111,0,"CHINA"
"358","2018-07","VIETNAM",38,11999649,119.99649,11.999649,"2018","07",0,1,11999649,119.99649,11.999649,0,"VIETNAM"
"359","2018-08","CHINA",2,341697,3.41697,0.341697,"2018","08",0,1,341697,3.41697,0.341697,0,"CHINA"
"360","2018-08","TAIWAN",0,6985,0.06985,0.006985,"2018","08",0,1,6985,0.06985,0.006985,0,"ROW"
"361","2018-08","VIETNAM",26,12562228,125.62228,12.562228,"2018","08",0,1,12562228,125.62228,12.562228,0,"VIETNAM"
"362","2018-09","CHINA",7,515026,5.15026,0.515026,"2018","09",0,1,515026,5.15026,0.515026,0,"CHINA"
"363","2018-09","VIETNAM",34,13910155,139.10155,13.910155,"2018","09",0,1,13910155,139.10155,13.910155,0,"VIETNAM"
