"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month"
"191",Oct 2017,"CHINA",258433,1556670,2,1,2017,10
"192",Oct 2017,"INDONESIA",855,5658,0,1,2017,10
"193",Oct 2017,"VIETNAM",4571949,16805482,22,1,2017,10
"194",Nov 2017,"CHINA",246525,1514398,3,1,2017,11
"195",Nov 2017,"GUYANA",373,3374,2,1,2017,11
"196",Nov 2017,"THAILAND",227,2182,0,1,2017,11
"197",Nov 2017,"VIETNAM",7932576,30601800,40,1,2017,11
"198",Dec 2017,"CHINA",316924,1832718,4,1,2017,12
"199",Dec 2017,"GUYANA",2369,17384,1,1,2017,12
"200",Dec 2017,"VIETNAM",7162985,26457616,40,1,2017,12
"201",Jan 2018,"CHINA",695364,3896780,4,1,2018,1
"202",Jan 2018,"GUYANA",1088,8250,9,1,2018,1
"203",Jan 2018,"VIETNAM",6753109,24485611,18,1,2018,1
"204",Feb 2018,"CHINA",445008,2554113,0,1,2018,2
"205",Feb 2018,"GUYANA",3653,19811,14,1,2018,2
"206",Feb 2018,"THAILAND",3408,21225,0,1,2018,2
"207",Feb 2018,"VIETNAM",5451102,20565204,8,1,2018,2
"208",Mar 2018,"CHINA",175738,1021728,2,1,2018,3
"209",Mar 2018,"GUYANA",11978,45654,10,1,2018,3
"210",Mar 2018,"SPAIN",366,2141,0,1,2018,3
"211",Mar 2018,"VIETNAM",5682839,21637302,11,1,2018,3
"212",Apr 2018,"CHINA",251275,1404009,4,1,2018,4
"213",Apr 2018,"VIETNAM",7230420,28903846,17,1,2018,4
"214",May 2018,"CHINA",532980,2920799,4,1,2018,5
"215",May 2018,"VIETNAM",9185746,38182869,14,1,2018,5
"216",Jun 2018,"CHINA",696858,3593224,3,1,2018,6
"217",Jun 2018,"VIETNAM",7320903,31746221,6,1,2018,6
"218",Jul 2018,"CHINA",276111,1611196,4,1,2018,7
"219",Jul 2018,"VIETNAM",11999649,52839923,38,1,2018,7
"220",Aug 2018,"CHINA",341697,1966792,2,1,2018,8
"221",Aug 2018,"TAIWAN",6985,50994,0,1,2018,8
"222",Aug 2018,"VIETNAM",12562228,58142029,26,1,2018,8
"223",Sep 2018,"CHINA",515026,2972269,7,1,2018,9
"224",Sep 2018,"VIETNAM",13910155,65155202,34,1,2018,9
"225",Oct 2018,"CHINA",288597,1626311,5,1,2018,10
"226",Oct 2018,"VIETNAM",12003934,56303272,48,1,2018,10
"227",Nov 2018,"CHINA",563174,2713727,2,1,2018,11
"228",Nov 2018,"VIETNAM",11618567,58566009,44,1,2018,11
"229",Dec 2018,"CHINA",1085731,5901947,9,1,2018,12
"230",Dec 2018,"VIETNAM",11433219,57504813,20,1,2018,12
"231",Jan 2019,"CHINA",520385,2519439,4,1,2019,1
"232",Jan 2019,"VIETNAM",13361891,62868438,34,1,2019,1
"233",Feb 2019,"CHINA",638465,3261328,8,1,2019,2
"234",Feb 2019,"VIETNAM",7703999,36399173,14,1,2019,2
"235",Mar 2019,"CHINA",232450,1230518,0,1,2019,3
"236",Mar 2019,"TAIWAN",18143,93400,0,1,2019,3
"237",Mar 2019,"VIETNAM",5599274,26594992,4,1,2019,3
"238",Apr 2019,"CHINA",207410,1220067,2,1,2019,4
"239",Apr 2019,"TAIWAN",15113,80943,0,1,2019,4
"240",Apr 2019,"THAILAND",4182,18947,2,1,2019,4
"241",Apr 2019,"VIETNAM",3959811,17276550,6,1,2019,4
"242",May 2019,"CHINA",185592,946559,0,1,2019,5
"243",May 2019,"VIETNAM",4009417,15707581,6,1,2019,5
"244",Jun 2019,"CHINA",220094,1101736,1,1,2019,6
"245",Jun 2019,"VIETNAM",6077630,22986015,10,1,2019,6
"246",Jul 2019,"CHINA",369236,1938235,0,1,2019,7
"247",Jul 2019,"THAILAND",7140,14832,0,1,2019,7
"248",Jul 2019,"VIETNAM",7836777,30682772,14,1,2019,7
"249",Aug 2019,"CHINA",307087,1656165,1,1,2019,8
"250",Aug 2019,"VIETNAM",6788054,24514663,21,1,2019,8
"251",Sep 2019,"CHINA",230191,1177590,3,1,2019,9
"252",Sep 2019,"VIETNAM",5970906,19812906,13,1,2019,9
"253",Oct 2019,"CHINA",518387,2574543,4,1,2019,10
"254",Oct 2019,"VIETNAM",7222956,22088798,20,1,2019,10
"255",Nov 2019,"CHINA",833416,3645446,8,1,2019,11
"256",Nov 2019,"VIETNAM",7658532,22523956,20,1,2019,11
"257",Dec 2019,"CHINA",948138,4230326,15,1,2019,12
"258",Dec 2019,"VIETNAM",8196392,23836508,31,1,2019,12
"259",Jan 2020,"CHINA",871858,3594336,11,1,2020,1
"260",Jan 2020,"VIETNAM",10173594,29539526,37,1,2020,1
"261",Feb 2020,"CHINA",520933,2203497,4,1,2020,2
"262",Feb 2020,"VIETNAM",7294104,21710524,42,1,2020,2
"263",Apr 2014,"BANGLADESH",NA,NA,1,0,2014,4
"264",May 2014,"GHANA",NA,NA,1,0,2014,5
"265",May 2014,"GUATEMALA",NA,NA,1,0,2014,5
"266",Aug 2014,"GUINEA",NA,NA,1,0,2014,8
"267",Jul 2015,"NIGERIA",NA,NA,1,0,2015,7
"268",Aug 2015,"GHANA",NA,NA,1,0,2015,8
"269",Nov 2015,"NIGERIA",NA,NA,1,0,2015,11
"270",Dec 2015,"GHANA",NA,NA,2,0,2015,12
"271",Mar 2016,"CHINA",NA,NA,5,0,2016,3
"272",Mar 2016,"SIERRA LEONE",NA,NA,1,0,2016,3
"273",May 2016,"UKRAINE",NA,NA,1,0,2016,5
"274",Jul 2016,"NIGERIA",NA,NA,1,0,2016,7
"275",Dec 2016,"GHANA",NA,NA,1,0,2016,12
"276",May 2017,"BANGLADESH",NA,NA,3,0,2017,5
"277",May 2017,"MYANMAR (BURMA)",NA,NA,6,0,2017,5
"278",Jun 2017,"PAKISTAN",NA,NA,1,0,2017,6
"279",Aug 2017,"BANGLADESH",NA,NA,4,0,2017,8
"280",Aug 2017,"NIGERIA",NA,NA,1,0,2017,8
"281",Sep 2017,"BANGLADESH",NA,NA,3,1,2017,9
"282",Sep 2017,"DOMINICAN REPUBLIC",NA,NA,2,1,2017,9
"283",Sep 2017,"GUYANA",NA,NA,2,1,2017,9
"284",Sep 2017,"MYANMAR (BURMA)",NA,NA,1,1,2017,9
"285",Oct 2017,"MYANMAR (BURMA)",NA,NA,7,1,2017,10
"286",Oct 2017,"NIGERIA",NA,NA,1,1,2017,10
"287",Nov 2017,"PAKISTAN",NA,NA,1,1,2017,11
"288",Jan 2018,"PAKISTAN",NA,NA,6,1,2018,1
"289",Jan 2018,"THAILAND",NA,NA,2,1,2018,1
"290",Feb 2018,"EL SALVADOR",NA,NA,1,1,2018,2
"291",Apr 2018,"GAMBIA",NA,NA,1,1,2018,4
"292",Apr 2018,"GUYANA",NA,NA,5,1,2018,4
"293",May 2018,"GUYANA",NA,NA,1,1,2018,5
"294",May 2018,"THAILAND",NA,NA,6,1,2018,5
